Job_Title,Company,Location,Salary,Job_Description,Job_Type,Job_Function,Industry,N_Employees
AI Data Scientist,Stanley Black & Decker,"Fishers, IN",$74K - $130K (Glassdoor est.),"About Stanley Black & DeckerJoining the Stanley Black & Decker (SBD) family means joining one of the world's largest, fastest growing, and most dynamic companies. SBD, a Fortune 200 company is a world-leading provider of tools and storage, commercial electronic security and engineered fastening systems, with unique growth platforms and a track record of sustained profitable growth. We have been globally recognized as one of the most innovative, sustainable, and rewarding companies in the world. We make tools for those who make the world.About Stanley SecurityStanley Security delivers powerful and insightful security solutions that enable protectors to drive the world forward. We are committed to making the world safer, by delivering leading customer experiences and smart monitored solutions that really perform. We understand that not every customer's requirement is the same and we work hard to provide tailor-made high quality security solutions to match customer requirements; from fully integrated security solutions and services that are designed and installed to the specific needs of customers across multiple sectors. These include access control, intruder alarms, CCTV, alarm monitoring, fire detection and Healthcare Communications, and much more.About the AI (Artificial Intelligence) Group in SSSThe mission of the AI group in SSS is to create and use the best-possible AI technologies, systems, algorithms and models for delivering outsized value and radically accelerating SSS’ businesses and vision. We and our customers use AI for improving performance of people and machines by using models and insights generated from automated processing of big data. It’s a broad area encompassing machine learning (ML), data science (DS), machine vision, natural language processing (NLP), data analytics (DA), data mining, mathematical optimization, and related technologies from fields such as computer science, robotics, statistics and operations research. The AI Team in SSS collaborates with the Corporate AI Team and other SSS and Corporate teams to identify, design and deliver new value-creation opportunities to which AI techniques can be applied.Summary of the RoleThis position is for an AI/ML Scientist within the AI Group in partnership with Stanley Black & Decker’s Security business unit (SSS). We are looking for an experienced technical contributor to work with an AI/ML lead scientist. You will investigate, build and deploy AI/ML systems and explore conceptually new solutions in a fast-paced environment. You will be at the heart of a growing and exciting focus area for SSS to apply artificial intelligence techniques to our most difficult problems.ResponsibilitiesUtilize AI and big data analysis methods to work within cross-functional teams to engage the Security business unit (BU) and its customer base, comprehend the BU's problems, develop strategic analytical products and support requirements analysisDevelop AI solutions that delivers a measurable outcome, testing the solution, and implementing the transformationApply domain expertise and business acumen to develop multiple insights and theories for complex problems that require the regular use of ingenuity and creativity and deep understanding of existing methods and solutionsExtract qualitative and quantitative relationships, including patterns and trends from a wide variety of dataCollaborate with AI Engineers to deploy and maintain solutions in productionContinuously develop AI know-how for the Security business unit and the companyQualifications:Deep understanding of machine learning and AI, specifically in neural networks, convolutional neural networks, random forests, classifiers, tree boosting systems, clustering, feature representations and feature engineeringAn understanding of multivariate statistics and statistical inferenceAdvanced proficiency of Python or RAn understanding of cloud services platforms like AWS, GCP or AzureExperience in modern machine learning applications such as natural language processing, computer vision or predictive analytics.Experience in deep learning frameworks like Tensorflow, Keras or PyTorchAbility to communicate effectively with internal clients or other quantitative analysts and engineers using expertise in hardware or software technologies.Excellent critical thinking, analytical, project management, interpersonal, and written/verbal communication skillsAbility to multi-task effectively in a fast-paced environmentHigh responsiveness and flexibility to changing business priorities and tight deadlinesHigh level of enthusiasm and desire to learn. Continuous improvement mindsetRequiredMaster’s or PhD degree in computer science, electrical engineering, applied mathematics, data science statistics2-3 years of Commercial Experience2-3 years of experience with data analysis in high performance computing, machine learning, big data analysis or related areasMOOC qualifications in AI and data sciencePreferredConfident in the development of quantitative models for Industrial systems (reliability data, sensor data) supply chain big data analysis, revenue forecasting, or similar problems using machine learning.Experience with providing project management support for large data analytics and data quality management projects, including providing planning, scheduling, and deployment support.Knowledge of relational database concepts, data mining, data warehouses, decision support tools including SQL and NoSQL.An understanding of delivering, deploying and maintaining AI/ML systems intoproduction.#LI-AH1Requisition Number72734BRBusinessUS - SSS - CorpNo. of Positions1EEO StatementAll qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran’s status or any other protected characteristic.FunctionInformation SystemsFeatured Category on SBD CareersOther, Technology & Data",Full-time,data scientist,Manufacturing,10000+ Employees
Data Scientist,ManTech International Corporation,"Arlington, VA",$70K - $116K (Glassdoor est.),"Secure our Nation, Ignite your FutureManTech is seeking a Data Scientist to join our growing team supporting our USMC intel contract in Arlington, VA (Pentagon).This position requires an active DOD Secret clearance (In JPAS)The successful candidate will a nalyze complex local and wide area network systems, including planning, designing, evaluating, selecting operating systems and protocol suites and configuring communication media with concentrators, bridges, and other devices. Resolves difficult inter-operability problems to obtain operation across all platforms, including e-mail, files transfer, multimedia, teleconferencing and the like. Configures systems to user environments. Serves as industry-recognized expert. Education and Experience: Bachelor's Degree or equivalent. 12 to 15 years of relevant work experience. Physical Requirements: Sedentary WorkGeneral Responsibilities:Establish comprehensive plan for collecting, processing, exploiting and managing publicly available information, ensuring flexibility to evolving requirementsWork with teammates to develop analytical models, tools, widgets, applications, etc.Process, analyze, disseminate data (structured and unstructured), and incorporate results into usable products, typically finished intelligence and visual analysis or dashboardsWork with Cyber teams to ensure solutions meet rigorous security restrictionsAutomate manual analytic processes, generate analytic models, and enable analysts to exploit data holdings (business process automation)Establish advanced analysis and data visualization methodologies, models, and tools to derive/predict intelligence outcomes and impactsTypical Skills desired include, but are not limited to: Python, R, Java, JavaScript, AngularJS, .NET, Hadoop and Apache related technologiesMaintain leading edge processes as technology and mission needs changeAnalyze current data sources and techniques and apply innovative and big data-driven problem-solving skills to analytic elementsProvide services related to data visualization and communication of complex quantitative concepts to non-technical audiencesThe contractor shall provide tailored communications to innovation stakeholders in meetings, demos, and other customer engagementsThe Contractor will apply specialized experience in statistics and machine learning algorithmsOther duties as requiredMandatory Skills Requirements:Must have ITSM experience in a practical setting of implementationMust possess an active Secret DoD ClearanceMust possess a Bachelor's of Science Degree and 8 years of experience, years of experience can replace degree requirements.ITIL Master or ExpertBusiness process automation; analyze current processes and automate/suggest a better processHandles raw data (e.g. structured, unstructured, and mixed datasets), and analyzes data through the application of various statistical techniques or toolsFamiliar with scripting/programming languages such as, but not limited to: R, SAS, Python, MatLab, Java, JavaScript, PowerShell, SQL, Hive, Pig, and Apache projectsExperienced in working with and exploiting big data; distributed computing; predictive modeling; mathematics; statistics; machine learning; story telling; visualization; etc…Demonstrates ability to extract meaning from and interpret data using a variety of tools and methods from statistics and machine learningDetermines methods of statistical analysis and applies statistical techniques to determine measures of tendency, correlation, sample size, significance of differences, etc.Researches pertinent literature in a designed project area and analyzes applicability of conceptsOther Skills Preferred:Knowledge of standard DoD and Marine Corps concepts, practices, and proceduresFamiliarity with Navy/Marine Corps interoperability requirements is preferredSCRUM Master CertFinancial Modeling knowledge/experienceProgram Management Professional CertificationKnowledge of CZTK (OpenIO, Scraawl, Crimson Hex, Zignal) and DataminrApplied Science Degree and/or Advanced Degree preferredPhysical Requirements:Must be able to remain in a stationary position 50%ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Full-time,data scientist,Business Services,5001 to 10000 Employees
Data Scientist - HCI,SCAN Group,"Long Beach, CA",$73K - $123K (Glassdoor est.),"Data Scientist - HCILong Beach, CAFull-timeAbout SCANAs one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.The OpportunityThe Data Scientist will support leadership and Healthcare Informatics teams with insights gained from analyzing company and external data to help make smarter decisions and drive better outcomes. You must be adept at using large data sets to find opportunities for quality improvement and process optimization. You must have strong experience using a variety of data mining/data analysis techniques, using a variety of data tools, building and implementing predictive models, using/creating algorithms upon structured and unstructured data. You must have a proven ability to drive business results with their data-driven insights. You must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.You WillWork with stakeholders throughout the organization to identify opportunities for leveraging big data to drive business solutions.Mine and analyze data (both structured and unstructured data) from company databases and external data when needed to drive quality improvement, process optimization and business strategies.Select features, building and optimizing models using machine learning techniques.Process, clean, and verify the integrity of data used for analysis.Develop custom data models and algorithms to apply to data sets.Use predictive models to increase and optimize intervention targeting, coding accuracy, and other business outcomes.Do ad-hoc analysis and present results in a clear manner.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Your QualificationsMaster's Degree or PhD in Statistics, Mathematics, Computer Science, or another quantitative field.3-5 years of experience handling data sets and building statistical/machine learning modelsExcellent understanding of machine leaning techniques (clustering, decision tree learning, neural networks, etc.), the natural language processing techniques, and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Experience with cloud computing is preferred, such as Microsoft Azure.Experience using common data science toolkits (R, Python, SAS, etc.) to handle data and draw insights from large data sets. Excellence in at least one of these is highly desirable.Proficiency in using query languages such as SQL.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.What's in it for you? Qualified employees will receive:A competitive compensation and benefits programAn annual employee bonus programGenerous paid-time-off (PTO)Ten paid holidays per yearExcellent 403(b) Saving Plan, providing up to 4% match and vesting after three yearsCasual attireA work-life balance and much more!We're always looking for talented people to join our team! Qualified applicants are encouraged to apply now!Equal Opportunity Employer/Protected Veterans/Individuals with DisabilitiesThe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",Full-time,data scientist,Insurance,501 to 1000 Employees
Senior Bioinfo Scientist,Inova Health System,"Falls Church, VA",$66K - $138K (Glassdoor est.),"Conduct bioinformatic analysis on research projects as a bioinformatics team member. Should have experience developing newanalytic approaches, software and pipelines to explore and apply meaningful approaches to complex human disease, such as cancer, diabetes and heart disease, and its impact on public health. Experience working with large scale biomedical data and hands on experience developing software or information systems to manage and analyze biomedical data. Working with Next and Third generation sequence data, proteomic data and microarray data from a tremendous breadth of clinical areas to gain new insights into human disease.About InovaInova is Northern Virginia’s leading nonprofit healthcare provider, recognized in 2019 and 2020 by U.S. News & World Report, which named Inova Fairfax Hospital the #1 hospital in the Washington, DC region. Each of Inova’s five hospitals holds a 5-star rating from the Centers for Medicare & Medicaid Services (CMS), distinguishing Inova as the highest-rated large health system in the U.S., and the only system to have all hospitals receive five stars. All five Inova hospitals were awarded ‘A’ grades for the spring 2020 Leapfrog Hospital Safety Grades, recognizing Inova’s achievements in protecting patients from harm and providing safer healthcare. Inova Fairfax Medical Campus was named to the Fortune/IBM Watson Health 100 Top Hospitals list, ranking in the top 10 nationwide among Major Teaching Hospitals. Our mission is to provide world-class healthcare – every time, every touch – to each person in every community we have the privilege to serve. Inova’s 18,000 team members serve more than 2 million individuals annually through an integrated network of hospitals, primary and specialty care practices, emergency and urgent care centers, outpatient services and destination institutes. Inova is home to Northern Virginia’s only Level 1 Trauma Center and Level 4 Neonatal Intensive Care Unit. Its hospitals have a total of 1,936 licensed beds. More information and statistics about Inova can be found at www.inova.org.IND2Requirements5 years experience working in the fieldMD, PhD or Masters in Computer science, Bioinformatics or related fieldBioinformaticist / computational biologist 5 years experience working in the fieldBioinformatics team member. Experience developing new analytic approaches. 5 years experience working in the fieldWork Site LocationINOVA FAIRFAX MEDICAL CAMPUS",Full-time,research scientist,Health Care,10000+ Employees
Spark/Big Data Engineer,GEICO,"Chevy Chase, MD",$52K - $101K (Glassdoor est.),"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.Basic Qualifications:At least two years of experience with SQL and Java or ScalaExperience with manipulating and transforming dataExposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)Strong critical thinking, decision making, and problem-solving skillsExcellent verbal/written communication skills, including communicating technical issues to non-technical audiencesBachelor’s degree in a computer related field or equivalent professional experience requiredPreferred Qualifications:Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggersExperience with Spark core and Spark SQLExperience as a Big Data DeveloperExposure to Data Mining, Data Engineering and Data ModelingExposure to Graph DatabasesNote: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.Benefits:As Spark/Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:Premier Medical, Dental and Vision Insurance with no waiting period**Paid Vacation, Sick and Parental Leave401(k) Plan with Profit SharingTuition ReimbursementPaid Training and LicensuresBenefits may be different by location. Benefit eligibility requirements vary and may include length of service.**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.#DI-JA",Full-time,data engineer,Insurance,10000+ Employees
Principal Data Scientist,GEICO,"Chevy Chase, MD",$104K - $170K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business valueBuild relationships with partner teams, frame and structure questions, as well as summarize and present key insights to both technical and non-technical audiencesCollaborate with stakeholders to gather, consolidate, and validate business expertise throughout the project lifecycleWork with analysts to document requirements, assumptions, and methodology including validation, testing, and implementation strategiesCoach, mentor, and guide data scientists to advance their career development in both technical and non-technical areasFacilitate regular peer reviews and conduct performance reviewsAssist management with strategic efforts, portfolio management, and value deliveryAssist management in the recruiting process in order to build a high-functioning Data Science teamApply project/team leadership and problem-solving skills to establish and promote best practices within the teamDevelop a high-level understanding of cutting-edge data science tools and techniquesExpected Qualifications:Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree or certification in analytics-related field strongly preferred5+ years of experience in a quantitative analyst and/or leadership role with 3+ years leading a team of quantitative analysts. Experience leading an Agile team preferredDemonstrated leadership competencies, including teambuilding, creative problem-solving, flexibility, and willingness to challenge the status quoExcellent communication, facilitation, and coaching skills in a business context and as it applies to team and project managementDemonstrated experience in influencing business decisions and driving business valueWorking experience with analytical modeling tools such as R or Python, predictive modeling, machine learning, experimental design, and AB testing strongly preferredCompletion of an analytical product critique may be requiredHighly Preferred Qualifications:Experience in Telematics, Internet of Things - IoT, and/or Sensor DataNote: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.Benefits:As a Principal Data Scientist, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:Premier Medical, Dental and Vision Insurance with no waiting period**Paid Vacation, Sick and Parental Leave401(k) Plan with Profit SharingTuition ReimbursementPaid Training and LicensuresBenefits may be different by location. Benefit eligibility requirements vary and may include length of service.EEO Statement:The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.#LI-JW1",Full-time,data scientist,Insurance,10000+ Employees
Data Analyst,Sperry Rail Inc.,"Olathe, KS",$40K - $69K (Glassdoor est.),"Data Analyst I: Based in Olathe, Ks. This is an Overnight position!Pay is $16 per hour with 20% differential for night work!LOCAL APPLICANTS ONLY !! THERE IS NO RELOCATION!SUMMARY OF POSITION: To process and analyze computer generated test data from detector cars; generate test data audits in accordance to company / client specification; assist in maintaining departmental procedures; processing customer special requests; and to assist in other departmental requirements as needed.Provide customer audit reports for violations in accordance with internal, client guidelines and procedures.Assist in data review of service failure investigations, providing this information to the Quality Manager for processing.Maintain customer and inter-company auditing requirements.Maintain department measurable as assigned by the Quality Manager.Provide test data analysis or comparison results as assigned by Quality Manager.Provide analysis for new technology.Provide tape comparisons for Chief Operator training class.MINIMUM REQUIREMENTS: · Education: High School Diploma/GED.Skills/Competencies: Communicate effectively, both orally and in writing.Maintain a relationship with the customer and follow up on all customer complaints. Always maintain a professional and positive attitude toward employees and customers· Preference to those with fluency in Spanish, Portuguese or Chinese to apply to the position visit http://www.sperryrail.com/careers.phpJob Type: Full-timePay: $16.00 per hourBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftNight shiftOvertimeWork Location:One locationCompany's website:www.sperryrail.comBenefit Conditions:Only full-time employees eligibleWork Remotely:No",Full-time,data analyst,Transportation & Logistics,201 to 500 Employees
Data Visualization Scientist,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to:Represent data and help our U.S. government partners easily understand their data.Uncover trends, changes, patterns, and anomalies in voluminous data sets.Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...Help develop creative and innovative interfaces for complex analytical data produced by machine learning and artificial intelligence systems. In addition, you will create sophisticated and understandable systems interactions to enable informed decision-making and assessments.Gather and evaluate user requirements, in collaboration with engineers, software developers, project managers, and sponsors.Direct, collect, understand, and process various types of data for developing analytics visualizations for research and analysis.Illustrate visualization ideas using storyboards, process flows, wireframes, and prototypes.Understand and implement data analytic approaches and solutions.Build creative visualizations and user interfaces that provide improved insight into analytic solutions.Clearly communicate data visualizations to a variety of audiences.You meet our minimum qualifications for the job if you:Possess a B.S. in Computer Science, Information Science, Mathematics, Physics, Operations Research, or a related discipline with at least a year of experience.Have a good technical and analytical skillset.Have used data visualization tools and/or libraries such as Tableau, d3.js, plotly.js, Angular.js, PowerBi, or other tools.Possess solid software development and programming skills (e.g. Python, Java, C , R, etc.)Have experience in planning, designing, and building visualizations.Are willing to work multi-functionally to tackle problems.Are self-motivated with strong intellectual curiosity, especially around defining impact.Maintain excellent social skills, outstanding written and oral communications skills, and good organizational skills.Are able to obtain a Secret clearance. If selected, you will be subject to a government security clearance investigation and meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship.You'll go above and beyond our minimum requirements if you:Possess a MS or PhD in a related technical field.Understand user centered design in data visualization.Have experience with user interface (UI) development.Possess research expertise and scholarly contributions in human-computer interaction or data science.Have worked with Jupyter Notebooks, Git, Jira, Docker, and/or Kubernettes.Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation’s most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL’s campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",Full-time,data modeler,Aerospace & Defense,5001 to 10000 Employees
Data Analyst,Independent Care Health Plan,"Milwaukee, WI",$47K - $80K (Glassdoor est.),"iCare, a subsidiary of Humana, is looking for a Data Analyst to join our team. The Data Analyst is responsible for analyzing, reporting and maintaining information within iCare’s enterprise data warehouse and associated databases based on business unit priorities. Additionally, this position may be responsible for assisting with system configuration and support.ESSENTIAL DUTIES and RESPONSIBILITIES:Conducts business analysis, data modeling, logical and physical database design, database optimization, load strategy design and implementation, security and change management.Create, manage and maintain reports using standard reporting technologies.Develop strong working relationship with the business units to determine needs and solutions that monitor trends.Maintain and manage a centralized data dictionary.Ensure best practices are utilized in defining business processes, including identifying and reporting on trends and deviation.Ensure adherence to company data architectural guidelines, principles and standards in all project milestones and deliverables.Work with team to optimize system performanceCreate appropriate documentation to support effective requirements definition including charts, graphs, and logic model diagrams as necessary.iCare Perks:Full Time associates enjoy:Medical, Dental, Vision, and a variety of other supplemental insurancesGenerous PTO and paid holidays401(k) Retirement Savings Plan with Company MatchTuition Reimbursementand much more!QUALIFICATIONS:Bachelor's degree in Computer Science, Management Information Systems, Engineering or related field, or equivalent experience2+ years proven design/development experience in methodologies related to ad hoc reporting, dimensional modeling and Enterprise Data Warehousing.2+ years of experience with relational database systems.Proficiency in database design concepts and techniques for OLAPExperience with enterprise-level DBMS systems and tools.Extensive experience in Microsoft SQL Server Reporting Services and Microsoft BI Tool set.Strong problem-solving skills, logical process thinking, and end-to-end system concepts.Strong verbal and written communication skills which can clearly articulate complex concepts and ideas to all levels of the organization in both technical and non-technical terms.Strong knowledge of data mapping and data modeling processes.Strong knowledge and experience creating reports that allow business users to drill into details.Analytical skills which effectively deal with conceptual and tangible ideas along with attention to detail.Working knowledge of the IT development process and life cycle, i.e. roles/responsibilities, tasks, milestones, deliverables.Team oriented with ability to work effectively with many different people across many diverse organizations.Ability to work on multiple, concurrent projects in a dynamic environment and manage time appropriately.Management skills with the ability to plan, organize, and orchestrate activities such as Joint Application Development and review sessions.Ability to identify and manage risks and issues, providing appropriate escalation when needed.Data Analyst I (1-4 years of experience in data analysis and/or ETL design & development)Data Analyst II (4-10 years of experience in data analysis and ETL design & development)Data Analyst III (10+ years of experience in data analysis, ETL, and/or EDW design & developmentPREFERRED QUALIFICATIONS:Understanding of Medicaid/MedicareUnderstanding of healthcare insurance industryExperienceRequired1 year(s): experience in data analysis and/or ETL design & development2 year(s): experience with relational database systems2 year(s): design/development experience in methodologies related to ad hoc reporting, dimensional modeling and Enterprise Data Warehousing.EducationRequiredBachelors or better in Engineering or related fieldBachelors or better in Management Information Systems or related fieldBachelors or better in Computer Science or related fieldBehaviorsPreferredInnovative: Consistently introduces new ideas and demonstrates original thinkingFunctional Expert: Considered a thought leader on a subjectDetail Oriented: Capable of carrying out a given task with all details necessary to get the task done wellMotivationsPreferredGrowth Opportunities: Inspired to perform well by the chance to take on more responsibilitySelf-Starter: Inspired to perform without outside helpGoal Completion: Inspired to perform well by the completion of tasks",Full-time,data analyst,Insurance,201 to 500 Employees
Data Analyst,Verve Credit Union,"Oshkosh, WI",$34K - $61K (Glassdoor est.),"POSITION SUMMARY The Data Analyst position serves as a key business partner to all verticals within the Credit Union. The position is focused on delivering data integrity to the finance team as well as supporting data management regarding the organization’s strategic direction, such as industry reporting, departmental support, and merger and acquisition integration. The position informs and influences business decisions throughout the organization.GENERAL RESPONSIBILITIESConsult all areas of the organization to determine business reporting needs and implement organizational/financial strategies.Establish new, and improve existing, processes for data mining and complex analyses.Responsible for auditing and maintaining completeness, accuracy, consistency and conformance with procedures and regulations between all systems, configurations, and output reports.Manage and prioritize new and continuing data requests.Maintain/update report output in accordance with organizational strategy.Troubleshoot the reporting environment and output reports.Train end users how to use and interpret new dashboards and reports.Special projects/additional duties as assigned.EDUCATION AND EXPERIENCEBachelor’s degree required, preferably in Business, Finance, Accounting or Information Technology.Previous experience with building, running and maintaining queries/output reports in Fiserv’s DNA CRM and BI tools preferred.A strong Accounting background/understanding preferred.A minimum of three (3) years practical work experience in related business/industry required.KEY COMPETENCIESExperience in Data Mining, Query building and Report Generation.Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.Must be detail-oriented and organized with excellent written and verbal skills.Strong PC skills, with advanced skills in Microsoft Office Excel, Access and Word.QualificationsSkillsBehaviors:Motivations:EducationExperienceLicenses & Certifications",Full-time,data analyst,Finance,201 to 500 Employees
